Supplemental Table 1: Public RNA-sequencing data collection and respective quality control status.,,,
,samples,study,QC_Status
691,SAMN04256125,Jegou,PASS
692,SAMN04479398,Zheng,PASS
693,SAMN04479399,Zheng,PASS
694,SAMN04479400,Zheng,PASS
695,SAMN04479401,Zheng,PASS
696,SAMN04479402,Zheng,PASS
697,SAMN04479403,Zheng,PASS
698,SAMN04479410,Zheng,FAIL
699,SAMN04479411,Zheng,FAIL
700,SAMN04479412,Zheng,PASS
701,SAMN04479413,Zheng,FAIL
702,SAMN04479414,Zheng,PASS
703,SAMN04479415,Zheng,PASS
704,SAMN04479416,Zheng,PASS
705,SAMN04479417,Zheng,FAIL
706,SAMN04479418,Zheng,PASS
707,SAMN04479419,Zheng,OMITTED3
708,SAMN04479420,Zheng,FAIL
709,SAMN04479421,Zheng,PASS
710,SAMN04479422,Zheng,PASS
711,SAMN04479423,Zheng,PASS
712,SAMN07512556,Wright,PASS
713,SAMN07512555,Wright,PASS
714,SAMN07512554,Wright,PASS
715,SAMN07512553,Wright,PASS
716,SAMN07512552,Wright,PASS
717,SAMN07512551,Wright,PASS
718,SAMN07512550,Wright,PASS
719,SAMN07512549,Wright,PASS
720,SAMN07512548,Wright,PASS
721,SAMN07512547,Wright,PASS
722,SAMN07512546,Wright,PASS
723,SAMN07512545,Wright,PASS
724,SAMN07512544,Wright,PASS
725,SAMN07512543,Wright,PASS
726,SAMN07512542,Wright,PASS
727,SAMN07512541,Wright,PASS
728,SAMN07512540,Wright,PASS
729,SAMN07512539,Wright,PASS
730,SAMN07512538,Wright,PASS
731,SAMN07512537,Wright,FAIL
732,SAMN07512536,Wright,PASS
733,SAMN07512586,Wright,PASS
734,SAMN07512585,Wright,FAIL
735,SAMN07512584,Wright,PASS
736,SAMN07512535,Wright,PASS
737,SAMN07512583,Wright,FAIL
738,SAMN07512582,Wright,FAIL
739,SAMN07512576,Wright,PASS
740,SAMN07512575,Wright,FAIL
741,SAMN07512574,Wright,PASS
742,SAMN07512581,Wright,PASS
743,SAMN07512580,Wright,PASS
744,SAMN07512579,Wright,PASS
745,SAMN07512578,Wright,PASS
746,SAMN07512577,Wright,PASS
747,SAMN07512573,Wright,FAIL
748,SAMN07512572,Wright,PASS
749,SAMN07512558,Wright,PASS
750,SAMN07512557,Wright,PASS
751,SAMN04026683,Zhang,FAIL
752,SAMN04026684,Zhang,FAIL
753,SAMN04026685,Zhang,FAIL
754,SAMN08330673,Zheng2,FAIL
755,SAMN08330672,Zheng2,FAIL
756,SAMN08330671,Zheng2,FAIL
757,SAMN10961181,Liu,PASS
758,SAMN10961180,Liu,PASS
759,SAMN10961182,Liu,PASS
760,SAMN10961177,Liu,PASS
761,SAMN10961176,Liu,PASS
762,SAMN10961179,Liu,PASS
763,SAMN10961178,Liu,PASS
764,SAMN10961174,Liu,PASS
765,SAMN10961175,Liu,PASS
766,SAMN12173746,Kumar,FAIL
767,SAMN12173744,Kumar,FAIL
768,SAMN12173742,Kumar,PASS
769,SAMN12173740,Kumar,PASS
770,SAMN12173737,Kumar,PASS
771,SAMN12173735,Kumar,PASS
772,SAMN12173733,Kumar,PASS
773,SAMN12173731,Kumar,PASS
774,SAMN12173729,Kumar,PASS
775,SAMN12173727,Kumar,PASS
776,SAMN12173725,Kumar,PASS
777,SAMN12173723,Kumar,PASS
778,SAMN12173721,Kumar,PASS
779,SAMN12173770,Kumar,PASS
780,SAMN12173767,Kumar,PASS
781,SAMN12173766,Kumar,PASS
782,SAMN12173764,Kumar,PASS
783,SAMN12173762,Kumar,PASS
784,SAMN12173760,Kumar,PASS
785,SAMN12173758,Kumar,PASS
786,SAMN12173756,Kumar,PASS
787,SAMN12173754,Kumar,PASS
788,SAMN12173752,Kumar,PASS
789,SAMN12173750,Kumar,PASS
790,SAMN12173748,Kumar,PASS
791,SAMN12173781,Kumar,PASS
792,SAMN12173779,Kumar,PASS
793,SAMN12173777,Kumar,PASS
794,SAMN12173775,Kumar,PASS
795,SAMN12173773,Kumar,PASS
796,SAMN03840125,Strong,OMITTED3
797,SAMN03840126,Strong,OMITTED3
798,SAMEA2467143,Peffers,PASS
799,SAMEA2467150,Peffers,PASS
800,SAMEA2467147,Peffers,PASS
801,SAMEA2467145,Peffers,PASS
802,SAMEA2467144,Peffers,PASS
803,SAMEA2467142,Peffers,PASS
804,SAMEA2467148,Peffers,PASS
805,SAMEA2467149,Peffers,PASS
806,SAMEA2467146,Peffers,PASS
807,SAMN12617490,Conrad,PASS
808,SAMN12617509,Conrad,PASS
809,SAMN12617508,Conrad,PASS
810,SAMN12617507,Conrad,PASS
811,SAMN12617506,Conrad,PASS
812,SAMN12617505,Conrad,PASS
813,SAMN12617504,Conrad,PASS
814,SAMN12617503,Conrad,PASS
815,SAMN12617502,Conrad,PASS
816,SAMN12617501,Conrad,PASS
817,SAMN12617500,Conrad,PASS
818,SAMN12617499,Conrad,PASS
819,SAMN12617496,Conrad,FAIL
820,SAMN12617495,Conrad,PASS
821,SAMN12617494,Conrad,PASS
822,SAMN12617493,Conrad,FAIL
823,SAMN12617492,Conrad,PASS
824,SAMN12617491,Conrad,PASS
825,SAMN12617513,Conrad,FAIL
826,SAMN12617512,Conrad,FAIL
827,SAMN12617511,Conrad,FAIL
828,SAMN12617510,Conrad,PASS
829,SAMN11961288,Liu2,PASS
830,SAMN11961287,Liu2,OMITTED1
831,SAMN11961285,Liu2,OMITTED2
832,SAMN11961284,Liu2,OMITTED1
833,SAMN11961282,Liu2,PASS
834,SAMN11961281,Liu2,OMITTED1
835,SAMN10458796,Wang2,FAIL
836,SAMN10458795,Wang2,FAIL
837,SAMN10458794,Wang2,FAIL
838,SAMN10458793,Wang2,FAIL
839,SAMN10458792,Wang2,PASS
840,SAMN10458791,Wang2,FAIL
841,SAMN10160982,Stelloo ,PASS
842,SAMN10160981,Stelloo ,PASS
843,SAMN10160980,Stelloo ,PASS
844,SAMN10160979,Stelloo ,PASS
845,SAMN10160978,Stelloo ,PASS
846,SAMN10160977,Stelloo ,PASS
847,SAMN10160976,Stelloo ,PASS
848,SAMN10160975,Stelloo ,PASS
849,SAMN10160974,Stelloo ,PASS
850,SAMN10160973,Stelloo ,PASS
851,SAMN10160972,Stelloo ,PASS
852,SAMN10160971,Stelloo ,PASS
853,SAMN10160970,Stelloo ,PASS
854,SAMN10160969,Stelloo ,PASS
855,SAMN10160968,Stelloo ,PASS
856,SAMN10160967,Stelloo ,PASS
857,SAMN10160966,Stelloo ,PASS
858,SAMN10160965,Stelloo ,PASS
859,SAMN10160964,Stelloo ,PASS
860,SAMN10160963,Stelloo ,PASS
861,SAMN10160962,Stelloo ,PASS
862,SAMN10160961,Stelloo ,PASS
863,SAMN10160960,Stelloo ,PASS
864,SAMN10160959,Stelloo ,PASS
865,SAMN10160958,Stelloo ,PASS
866,SAMN10160957,Stelloo ,FAIL
867,SAMN10160956,Stelloo ,PASS
868,SAMN10160955,Stelloo ,FAIL
869,SAMN10160954,Stelloo ,PASS
870,SAMN10160953,Stelloo ,PASS
871,SAMN10161012,Stelloo ,PASS
872,SAMN10161011,Stelloo ,PASS
873,SAMN10161015,Stelloo ,PASS
874,SAMN10161014,Stelloo ,PASS
875,SAMN10161013,Stelloo ,PASS
876,SAMN10161010,Stelloo ,PASS
877,SAMN10161009,Stelloo ,PASS
878,SAMN10161008,Stelloo ,PASS
879,SAMN10161007,Stelloo ,PASS
880,SAMN10161006,Stelloo ,PASS
881,SAMN10161005,Stelloo ,FAIL
882,SAMN10161004,Stelloo ,PASS
883,SAMN10161003,Stelloo ,PASS
884,SAMN10161002,Stelloo ,PASS
885,SAMN10161001,Stelloo ,PASS
886,SAMN10161000,Stelloo ,PASS
887,SAMN10160999,Stelloo ,PASS
888,SAMN10160998,Stelloo ,PASS
889,SAMN10160997,Stelloo ,PASS
890,SAMN10160996,Stelloo ,PASS
891,SAMN10160995,Stelloo ,PASS
892,SAMN10160994,Stelloo ,PASS
893,SAMN10160993,Stelloo ,PASS
894,SAMN10160992,Stelloo ,PASS
895,SAMN10160991,Stelloo ,PASS
896,SAMN10160990,Stelloo ,PASS
897,SAMN10160989,Stelloo ,PASS
898,SAMN10160988,Stelloo ,PASS
899,SAMN10160987,Stelloo ,FAIL
900,SAMN10160986,Stelloo ,PASS
901,SAMN10161031,Stelloo ,PASS
902,SAMN10161030,Stelloo ,PASS
903,SAMN10161029,Stelloo ,PASS
904,SAMN10161028,Stelloo ,PASS
905,SAMN10161027,Stelloo ,PASS
906,SAMN10161026,Stelloo ,PASS
907,SAMN10161025,Stelloo ,PASS
908,SAMN10161024,Stelloo ,PASS
909,SAMN10161023,Stelloo ,PASS
910,SAMN10161022,Stelloo ,PASS
911,SAMN10161021,Stelloo ,PASS
912,SAMN10161020,Stelloo ,PASS
913,SAMN10161019,Stelloo ,PASS
914,SAMN10161018,Stelloo ,PASS
915,SAMN10161017,Stelloo ,PASS
916,SAMN10160985,Stelloo ,PASS
917,SAMN10160984,Stelloo ,PASS
918,SAMN10160983,Stelloo ,PASS
919,SAMN10161035,Stelloo ,PASS
920,SAMN10161034,Stelloo ,PASS
921,SAMN10161033,Stelloo ,PASS
922,SAMN10161032,Stelloo ,PASS
923,SAMN10160952,Stelloo ,PASS
924,SAMN10160951,Stelloo ,PASS
925,SAMN10160950,Stelloo ,FAIL
926,SAMN10160948,Stelloo ,PASS
927,SAMN10160946,Stelloo ,FAIL
928,SAMN10160945,Stelloo ,FAIL
929,SAMN10160944,Stelloo ,FAIL
930,SAMN10160943,Stelloo ,PASS
931,SAMN10161016,Stelloo ,FAIL
932,SAMN07763385,Severson,OMITTED1
933,SAMN07763384,Severson,OMITTED1
934,SAMN07763383,Severson,OMITTED1
935,SAMN07763382,Severson,OMITTED1
936,SAMN07763381,Severson,OMITTED1
937,SAMN07763380,Severson,OMITTED1
938,SAMN07763379,Severson,OMITTED1
939,SAMN07763378,Severson,OMITTED1
940,SAMN07763377,Severson,OMITTED1
941,SAMN07763376,Severson,OMITTED1
942,SAMN07763375,Severson,OMITTED1
943,SAMN07763374,Severson,OMITTED1
944,SAMN07763373,Severson,OMITTED1
945,SAMN07763372,Severson,OMITTED1
946,SAMN07763371,Severson,OMITTED1
947,SAMN07763370,Severson,OMITTED1
948,SAMN07763369,Severson,OMITTED1
949,SAMN07763368,Severson,OMITTED1
950,SAMN07763367,Severson,OMITTED1
951,SAMN07763366,Severson,OMITTED1
952,SAMN07763365,Severson,OMITTED1
953,SAMN07763364,Severson,OMITTED1
954,SAMN07763363,Severson,OMITTED1
955,SAMN07763362,Severson,OMITTED1
956,SAMN07763361,Severson,OMITTED1
957,SAMN07763360,Severson,OMITTED1
958,SAMN07763405,Severson,OMITTED1
959,SAMN07763404,Severson,OMITTED1
960,SAMN07763403,Severson,OMITTED1
961,SAMN07763402,Severson,OMITTED1
962,SAMN07763401,Severson,OMITTED1
963,SAMN07763400,Severson,OMITTED1
964,SAMN07763399,Severson,OMITTED1
965,SAMN07763398,Severson,OMITTED1
966,SAMN07763397,Severson,OMITTED1
967,SAMN07763396,Severson,OMITTED1
968,SAMN07763395,Severson,OMITTED1
969,SAMN07763394,Severson,OMITTED1
970,SAMN07763393,Severson,OMITTED1
971,SAMN07763392,Severson,OMITTED1
972,SAMN07763391,Severson,OMITTED1
973,SAMN07763390,Severson,OMITTED1
974,SAMN07763389,Severson,OMITTED1
975,SAMN07763388,Severson,OMITTED1
976,SAMN07763387,Severson,OMITTED1
977,SAMN07763386,Severson,OMITTED1
978,SAMN04939984,Djureinovic,PASS
979,SAMN04939985,Djureinovic,PASS
980,SAMN04939986,Djureinovic,PASS
981,SAMN04939987,Djureinovic,PASS
982,SAMN04939988,Djureinovic,PASS
983,SAMN04939867,Djureinovic,PASS
984,SAMN04939868,Djureinovic,PASS
985,SAMN04939869,Djureinovic,PASS
986,SAMN04939989,Djureinovic,PASS
987,SAMN04939772,Djureinovic,PASS
988,SAMN04939864,Djureinovic,PASS
989,SAMN04939865,Djureinovic,PASS
990,SAMN04939866,Djureinovic,PASS
991,SAMN04939870,Djureinovic,PASS
992,SAMN04939871,Djureinovic,PASS
993,SAMN04939872,Djureinovic,PASS
994,SAMN04939873,Djureinovic,PASS
995,SAMN04939874,Djureinovic,PASS
996,SAMN04939875,Djureinovic,PASS
997,SAMN04939876,Djureinovic,PASS
998,SAMN04939877,Djureinovic,PASS
999,SAMN04939878,Djureinovic,PASS
1000,SAMN04939879,Djureinovic,PASS
1001,SAMN04939880,Djureinovic,PASS
1002,SAMN04939881,Djureinovic,PASS
1003,SAMN04939882,Djureinovic,PASS
1004,SAMN04939883,Djureinovic,PASS
1005,SAMN04939884,Djureinovic,PASS
1006,SAMN04939885,Djureinovic,PASS
1007,SAMN04939886,Djureinovic,PASS
1008,SAMN04939887,Djureinovic,PASS
1009,SAMN04939888,Djureinovic,PASS
1010,SAMN04939889,Djureinovic,PASS
1011,SAMN04939890,Djureinovic,PASS
1012,SAMN04939891,Djureinovic,PASS
1013,SAMN04939892,Djureinovic,PASS
1014,SAMN04939893,Djureinovic,PASS
1015,SAMN04939834,Djureinovic,PASS
1016,SAMN04939835,Djureinovic,PASS
1017,SAMN04939836,Djureinovic,PASS
1018,SAMN04939837,Djureinovic,PASS
1019,SAMN04939838,Djureinovic,PASS
1020,SAMN04939839,Djureinovic,PASS
1021,SAMN04939840,Djureinovic,PASS
1022,SAMN04939841,Djureinovic,PASS
1023,SAMN04939842,Djureinovic,PASS
1024,SAMN04939843,Djureinovic,PASS
1025,SAMN04939844,Djureinovic,PASS
1026,SAMN04939845,Djureinovic,PASS
1027,SAMN04939846,Djureinovic,PASS
1028,SAMN04939847,Djureinovic,PASS
1029,SAMN04939848,Djureinovic,PASS
1030,SAMN04939849,Djureinovic,PASS
1031,SAMN04939850,Djureinovic,PASS
1032,SAMN04939851,Djureinovic,FAIL
1033,SAMN04939852,Djureinovic,PASS
1034,SAMN04939853,Djureinovic,PASS
1035,SAMN04939854,Djureinovic,FAIL
1036,SAMN04939855,Djureinovic,FAIL
1037,SAMN04939856,Djureinovic,FAIL
1038,SAMN04939857,Djureinovic,FAIL
1039,SAMN04939858,Djureinovic,FAIL
1040,SAMN04939859,Djureinovic,FAIL
1041,SAMN04939860,Djureinovic,PASS
1042,SAMN04939861,Djureinovic,PASS
1043,SAMN04939862,Djureinovic,FAIL
1044,SAMN04939863,Djureinovic,FAIL
1045,SAMN04939954,Djureinovic,FAIL
1046,SAMN04939955,Djureinovic,PASS
1047,SAMN04939956,Djureinovic,FAIL
1048,SAMN04939957,Djureinovic,FAIL
1049,SAMN04939958,Djureinovic,PASS
1050,SAMN04939959,Djureinovic,PASS
1051,SAMN04939960,Djureinovic,FAIL
1052,SAMN04939961,Djureinovic,FAIL
1053,SAMN04939962,Djureinovic,FAIL
1054,SAMN04939963,Djureinovic,FAIL
1055,SAMN04939964,Djureinovic,FAIL
1056,SAMN04939965,Djureinovic,PASS
1057,SAMN04939966,Djureinovic,FAIL
1058,SAMN04939967,Djureinovic,FAIL
1059,SAMN04939968,Djureinovic,FAIL
1060,SAMN04939969,Djureinovic,FAIL
1061,SAMN04939970,Djureinovic,FAIL
1062,SAMN04939971,Djureinovic,FAIL
1063,SAMN04939972,Djureinovic,FAIL
1064,SAMN04939973,Djureinovic,FAIL
1065,SAMN04939974,Djureinovic,FAIL
1066,SAMN04939975,Djureinovic,FAIL
1067,SAMN04939976,Djureinovic,FAIL
1068,SAMN04939977,Djureinovic,FAIL
1069,SAMN04939978,Djureinovic,FAIL
1070,SAMN04939979,Djureinovic,FAIL
1071,SAMN04939980,Djureinovic,FAIL
1072,SAMN04939981,Djureinovic,FAIL
1073,SAMN04939982,Djureinovic,FAIL
1074,SAMN04939895,Djureinovic,FAIL
1075,SAMN04939896,Djureinovic,FAIL
1076,SAMN04939983,Djureinovic,FAIL
1077,SAMN04939894,Djureinovic,FAIL
1078,SAMN04939897,Djureinovic,FAIL
1079,SAMN04939898,Djureinovic,FAIL
1080,SAMN04939899,Djureinovic,FAIL
1081,SAMN04939900,Djureinovic,FAIL
1082,SAMN04939901,Djureinovic,FAIL
1083,SAMN04939902,Djureinovic,FAIL
1084,SAMN04939903,Djureinovic,FAIL
1085,SAMN04939904,Djureinovic,FAIL
1086,SAMN04939905,Djureinovic,FAIL
1087,SAMN04939906,Djureinovic,FAIL
1088,SAMN04939907,Djureinovic,FAIL
1089,SAMN04939908,Djureinovic,FAIL
1090,SAMN04939909,Djureinovic,FAIL
1091,SAMN04939910,Djureinovic,PASS
1092,SAMN04939911,Djureinovic,PASS
1093,SAMN04939912,Djureinovic,PASS
1094,SAMN04939913,Djureinovic,PASS
1095,SAMN04939914,Djureinovic,PASS
1096,SAMN04939915,Djureinovic,PASS
1097,SAMN04939916,Djureinovic,PASS
1098,SAMN04939917,Djureinovic,PASS
1099,SAMN04939918,Djureinovic,FAIL
1100,SAMN04939921,Djureinovic,PASS
1101,SAMN04939922,Djureinovic,PASS
1102,SAMN04939923,Djureinovic,PASS
1103,SAMN04939774,Djureinovic,PASS
1104,SAMN04939775,Djureinovic,PASS
1105,SAMN04939776,Djureinovic,PASS
1106,SAMN04939919,Djureinovic,PASS
1107,SAMN04939920,Djureinovic,PASS
1108,SAMN04939777,Djureinovic,PASS
1109,SAMN04939778,Djureinovic,PASS
1110,SAMN04939779,Djureinovic,PASS
1111,SAMN04939780,Djureinovic,PASS
1112,SAMN04939781,Djureinovic,PASS
1113,SAMN04939782,Djureinovic,PASS
1114,SAMN04939783,Djureinovic,PASS
1115,SAMN04939784,Djureinovic,PASS
1116,SAMN04939785,Djureinovic,PASS
1117,SAMN04939786,Djureinovic,PASS
1118,SAMN04939787,Djureinovic,PASS
1119,SAMN04939788,Djureinovic,PASS
1120,SAMN04939789,Djureinovic,PASS
1121,SAMN04939790,Djureinovic,PASS
1122,SAMN04939791,Djureinovic,PASS
1123,SAMN04939792,Djureinovic,PASS
1124,SAMN04939793,Djureinovic,PASS
1125,SAMN04939794,Djureinovic,PASS
1126,SAMN04939795,Djureinovic,PASS
1127,SAMN04939796,Djureinovic,PASS
1128,SAMN04939797,Djureinovic,PASS
1129,SAMN04939798,Djureinovic,PASS
1130,SAMN04939799,Djureinovic,PASS
1131,SAMN04939800,Djureinovic,PASS
1132,SAMN04939801,Djureinovic,PASS
1133,SAMN04939802,Djureinovic,FAIL
1134,SAMN04939803,Djureinovic,FAIL
1135,SAMN04939924,Djureinovic,FAIL
1136,SAMN04939925,Djureinovic,FAIL
1137,SAMN04939926,Djureinovic,FAIL
1138,SAMN04939927,Djureinovic,FAIL
1139,SAMN04939928,Djureinovic,FAIL
1140,SAMN04939929,Djureinovic,FAIL
1141,SAMN04939930,Djureinovic,FAIL
1142,SAMN04939931,Djureinovic,FAIL
1143,SAMN04939932,Djureinovic,FAIL
1144,SAMN04939933,Djureinovic,FAIL
1145,SAMN04939934,Djureinovic,FAIL
1146,SAMN04939935,Djureinovic,FAIL
1147,SAMN04939936,Djureinovic,FAIL
1148,SAMN04939937,Djureinovic,FAIL
1149,SAMN04939938,Djureinovic,FAIL
1150,SAMN04939939,Djureinovic,PASS
1151,SAMN04939940,Djureinovic,PASS
1152,SAMN04939941,Djureinovic,FAIL
1153,SAMN04939942,Djureinovic,FAIL
1154,SAMN04939943,Djureinovic,FAIL
1155,SAMN04939944,Djureinovic,FAIL
1156,SAMN04939945,Djureinovic,FAIL
1157,SAMN04939946,Djureinovic,FAIL
1158,SAMN04939947,Djureinovic,FAIL
1159,SAMN04939948,Djureinovic,FAIL
1160,SAMN04939949,Djureinovic,FAIL
1161,SAMN04939950,Djureinovic,PASS
1162,SAMN04939951,Djureinovic,PASS
1163,SAMN04939806,Djureinovic,PASS
1164,SAMN04939807,Djureinovic,PASS
1165,SAMN04939808,Djureinovic,PASS
1166,SAMN04939952,Djureinovic,PASS
1167,SAMN04939953,Djureinovic,PASS
1168,SAMN04939804,Djureinovic,PASS
1169,SAMN04939805,Djureinovic,PASS
1170,SAMN04939809,Djureinovic,PASS
1171,SAMN04939810,Djureinovic,PASS
1172,SAMN04939811,Djureinovic,PASS
1173,SAMN04939812,Djureinovic,PASS
1174,SAMN04939813,Djureinovic,PASS
1175,SAMN04939814,Djureinovic,PASS
1176,SAMN04939815,Djureinovic,PASS
1177,SAMN04939816,Djureinovic,PASS
1178,SAMN04939817,Djureinovic,PASS
1179,SAMN04939818,Djureinovic,FAIL
1180,SAMN04939819,Djureinovic,PASS
1181,SAMN04939820,Djureinovic,FAIL
1182,SAMN04939821,Djureinovic,FAIL
1183,SAMN04939822,Djureinovic,FAIL
1184,SAMN04939823,Djureinovic,PASS
1185,SAMN04939824,Djureinovic,FAIL
1186,SAMN04939825,Djureinovic,FAIL
1187,SAMN04939826,Djureinovic,FAIL
1188,SAMN04939827,Djureinovic,FAIL
1189,SAMN04939828,Djureinovic,PASS
1190,SAMN04939829,Djureinovic,PASS
1191,SAMN04939830,Djureinovic,PASS
1192,SAMN04939831,Djureinovic,PASS
1193,SAMN04939832,Djureinovic,PASS
1194,SAMN04939833,Djureinovic,FAIL
1195,SAMN04939773,Djureinovic,PASS
1196,SAMN12173707,Chen,PASS
1197,SAMN12173706,Chen,FAIL
1198,SAMN12173705,Chen,PASS
1199,SAMN12173704,Chen,PASS
1200,SAMN12173627,Chen,PASS
1201,SAMN12173626,Chen,PASS
1202,SAMN12173625,Chen,PASS
1203,SAMN12173624,Chen,PASS
1204,SAMN12173623,Chen,PASS
1205,SAMN12173622,Chen,PASS
1206,SAMN12173621,Chen,PASS
1207,SAMN12173620,Chen,PASS
1208,SAMN12173619,Chen,PASS
1209,SAMN12173618,Chen,PASS
1210,SAMN12173617,Chen,PASS
1211,SAMN12173663,Chen,PASS
1212,SAMN12173662,Chen,PASS
1213,SAMN12173661,Chen,PASS
1214,SAMN12173660,Chen,PASS
1215,SAMN12173659,Chen,FAIL
1216,SAMN12173658,Chen,PASS
1217,SAMN12173657,Chen,PASS
1218,SAMN12173656,Chen,PASS
1219,SAMN12173655,Chen,PASS
1220,SAMN12173654,Chen,PASS
1221,SAMN12173653,Chen,PASS
1222,SAMN12173652,Chen,PASS
1223,SAMN12173651,Chen,PASS
1224,SAMN12173650,Chen,FAIL
1225,SAMN12173649,Chen,PASS
1226,SAMN12173648,Chen,PASS
1227,SAMN12173647,Chen,PASS
1228,SAMN12173601,Chen,PASS
1229,SAMN12173600,Chen,PASS
1230,SAMN12173599,Chen,PASS
1231,SAMN12173646,Chen,PASS
1232,SAMN12173645,Chen,PASS
1233,SAMN12173603,Chen,PASS
1234,SAMN12173602,Chen,PASS
1235,SAMN12173598,Chen,PASS
1236,SAMN12173597,Chen,PASS
1237,SAMN12173596,Chen,PASS
1238,SAMN12173595,Chen,PASS
1239,SAMN12173594,Chen,PASS
1240,SAMN12173593,Chen,PASS
1241,SAMN12173592,Chen,PASS
1242,SAMN12173591,Chen,PASS
1243,SAMN12173590,Chen,PASS
1244,SAMN12173589,Chen,PASS
1245,SAMN12173588,Chen,PASS
1246,SAMN12173641,Chen,PASS
1247,SAMN12173640,Chen,PASS
1248,SAMN12173639,Chen,PASS
1249,SAMN12173638,Chen,PASS
1250,SAMN12173637,Chen,PASS
1251,SAMN12173636,Chen,PASS
1252,SAMN12173635,Chen,PASS
1253,SAMN12173634,Chen,PASS
1254,SAMN12173633,Chen,PASS
1255,SAMN12173632,Chen,PASS
1256,SAMN12173628,Chen,PASS
1257,SAMN12173607,Chen,PASS
1258,SAMN12173606,Chen,PASS
1259,SAMN12173605,Chen,PASS
1260,SAMN12173604,Chen,PASS
1261,SAMN10172362,Suntsova,FAIL
1262,SAMN10172361,Suntsova,FAIL
1263,SAMN10172360,Suntsova,FAIL
1264,SAMN10172359,Suntsova,FAIL
1265,SAMN10172358,Suntsova,FAIL
1266,SAMN10172357,Suntsova,FAIL
1267,SAMN10172392,Suntsova,FAIL
1268,SAMN10172380,Suntsova,FAIL
1269,SAMN10172379,Suntsova,FAIL
1270,SAMN10172378,Suntsova,FAIL
1271,SAMN10172377,Suntsova,FAIL
1272,SAMN10172376,Suntsova,FAIL
1273,SAMN10172375,Suntsova,FAIL
1274,SAMN10172374,Suntsova,FAIL
1275,SAMN10172373,Suntsova,FAIL
1276,SAMN10172372,Suntsova,PASS
1277,SAMN10172371,Suntsova,FAIL
1278,SAMN10172370,Suntsova,FAIL
1279,SAMN10172369,Suntsova,FAIL
1280,SAMN10172368,Suntsova,PASS
1281,SAMN10172367,Suntsova,FAIL
1282,SAMN10172366,Suntsova,PASS
1283,SAMN10172365,Suntsova,FAIL
1284,SAMN10172364,Suntsova,FAIL
1285,SAMN10172363,Suntsova,PASS
1286,SAMN10172391,Suntsova,FAIL
1287,SAMN10172390,Suntsova,PASS
1288,SAMN10172389,Suntsova,FAIL
1289,SAMN10172388,Suntsova,PASS
1290,SAMN10172387,Suntsova,OMITTED1
1291,SAMN10172386,Suntsova,OMITTED1
1292,SAMN10172385,Suntsova,PASS
1293,SAMN10172384,Suntsova,PASS
1294,SAMN10172383,Suntsova,PASS
1295,SAMN10172382,Suntsova,FAIL
1296,SAMN10172381,Suntsova,PASS
1297,SAMN10172416,Suntsova,PASS
1298,SAMN10172415,Suntsova,PASS
1299,SAMN10172414,Suntsova,PASS
1300,SAMN10172413,Suntsova,PASS
1301,SAMN10172412,Suntsova,PASS
1302,SAMN10172411,Suntsova,FAIL
1303,SAMN10172417,Suntsova,FAIL
1304,SAMN10172410,Suntsova,FAIL
1305,SAMN10172409,Suntsova,FAIL
1306,SAMN10172408,Suntsova,FAIL
1307,SAMN10172407,Suntsova,FAIL
1308,SAMN10172406,Suntsova,FAIL
1309,SAMN10172405,Suntsova,PASS
1310,SAMN10172404,Suntsova,PASS
1311,SAMN10172403,Suntsova,PASS
1312,SAMN10172402,Suntsova,FAIL
1313,SAMN10172401,Suntsova,FAIL
1314,SAMN10172400,Suntsova,FAIL
1315,SAMN10172399,Suntsova,FAIL
1316,SAMN10172398,Suntsova,PASS
1317,SAMN10172397,Suntsova,PASS
1318,SAMN10172396,Suntsova,FAIL
1319,SAMN10172395,Suntsova,FAIL
1320,SAMN10172394,Suntsova,FAIL
1321,SAMN10172393,Suntsova,PASS
1322,SAMN10172447,Suntsova,FAIL
1323,SAMN10172446,Suntsova,PASS
1324,SAMN10172445,Suntsova,FAIL
1325,SAMN10172444,Suntsova,PASS
1326,SAMN10172443,Suntsova,FAIL
1327,SAMN10172442,Suntsova,FAIL
1328,SAMN10172441,Suntsova,FAIL
1329,SAMN10172440,Suntsova,FAIL
1330,SAMN10172439,Suntsova,PASS
1331,SAMN10172438,Suntsova,FAIL
1332,SAMN10172437,Suntsova,FAIL
1333,SAMN10172436,Suntsova,FAIL
1334,SAMN10172435,Suntsova,PASS
1335,SAMN10172434,Suntsova,FAIL
1336,SAMN10172433,Suntsova,FAIL
1337,SAMN10172432,Suntsova,PASS
1338,SAMN10172431,Suntsova,FAIL
1339,SAMN10172430,Suntsova,PASS
1340,SAMN10172429,Suntsova,PASS
1341,SAMN10172428,Suntsova,FAIL
1342,SAMN10172427,Suntsova,OMITTED2
1343,SAMN10172426,Suntsova,PASS
1344,SAMN10172425,Suntsova,FAIL
1345,SAMN10172424,Suntsova,OMITTED2
1346,SAMN10172423,Suntsova,FAIL
1347,SAMN10172422,Suntsova,PASS
1348,SAMN10172421,Suntsova,PASS
1349,SAMN10172420,Suntsova,PASS
1350,SAMN10172419,Suntsova,PASS
1351,SAMN10172418,Suntsova,FAIL
1352,SAMN10172488,Suntsova,PASS
1353,SAMN10172487,Suntsova,PASS
1354,SAMN10172486,Suntsova,PASS
1355,SAMN10172485,Suntsova,FAIL
1356,SAMN10172484,Suntsova,PASS
1357,SAMN10172483,Suntsova,PASS
